name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"arrCmpInt/0",605877668,1.1534,1.15316,ns,,,,,
"arrCmpInt/4",612114653,1.15493,1.15471,ns,,,,,
"arrCmpInt/8",603995584,1.15256,1.15209,ns,,,,,
"arrCmpInt/12",601920317,1.15933,1.15908,ns,,,,,
"arrCmpInt/16",403813651,1.72989,1.7292,ns,,,,,
"arrCmpInt/20",406820416,1.73477,1.73428,ns,,,,,
"arrCmpInt/24",405035224,1.7225,1.72199,ns,,,,,
"arrCmpInt/28",405532920,1.73614,1.73569,ns,,,,,
"arrCmpInt/32",304365981,2.30986,2.30896,ns,,,,,
"arrCmpInt/36",303342486,2.29839,2.29798,ns,,,,,
"arrCmpInt/40",303335033,2.30152,2.30105,ns,,,,,
"arrCmpInt/44",303540298,2.30555,2.30509,ns,,,,,
"arrCmpInt/48",243887341,2.85666,2.85657,ns,,,,,
"arrCmpInt/52",245496856,2.84962,2.84954,ns,,,,,
"arrCmpInt/56",244362010,2.86658,2.86643,ns,,,,,
"arrCmpInt/60",243852145,2.8657,2.86561,ns,,,,,
"arrCmpInt/64",125469257,5.55578,5.5556,ns,,,,,
"arrCmpInt/68",127535141,5.54857,5.54805,ns,,,,,
"arrCmpInt/72",127443587,5.52228,5.52195,ns,,,,,
"arrCmpInt/76",126826418,5.56479,5.56447,ns,,,,,
"arrCmpInt/80",109063168,6.41267,6.41233,ns,,,,,
"arrCmpInt/84",108492103,6.43251,6.43219,ns,,,,,
"arrCmpInt/88",108867165,6.4205,6.42016,ns,,,,,
"arrCmpInt/92",109391612,6.40418,6.40344,ns,,,,,
"arrCmpInt/96",114109399,6.12715,6.12689,ns,,,,,
"arrCmpOrdering/0",467705509,1.49835,1.49824,ns,,,,,
"arrCmpOrdering/4",465941264,1.4977,1.49763,ns,,,,,
"arrCmpOrdering/8",468893649,1.50049,1.5004,ns,,,,,
"arrCmpOrdering/12",471786522,1.49869,1.4985,ns,,,,,
"arrCmpOrdering/16",337637431,2.07722,2.07713,ns,,,,,
"arrCmpOrdering/20",337179306,2.07966,2.07956,ns,,,,,
"arrCmpOrdering/24",337639291,2.0751,2.07498,ns,,,,,
"arrCmpOrdering/28",337836995,2.07915,2.07905,ns,,,,,
"arrCmpOrdering/32",275100719,2.55404,2.55389,ns,,,,,
"arrCmpOrdering/36",275152760,2.54927,2.54912,ns,,,,,
"arrCmpOrdering/40",273826468,2.55259,2.55247,ns,,,,,
"arrCmpOrdering/44",274594208,2.54409,2.54391,ns,,,,,
"arrCmpOrdering/48",220324156,3.1933,3.19314,ns,,,,,
"arrCmpOrdering/52",219480017,3.20069,3.20054,ns,,,,,
"arrCmpOrdering/56",218865896,3.2189,3.21848,ns,,,,,
"arrCmpOrdering/60",219994118,3.1838,3.18358,ns,,,,,
"arrCmpOrdering/64",187437641,3.72814,3.72787,ns,,,,,
"arrCmpOrdering/68",187929673,3.73059,3.73042,ns,,,,,
"arrCmpOrdering/72",187099001,3.72533,3.72514,ns,,,,,
"arrCmpOrdering/76",188034290,3.73459,3.73446,ns,,,,,
"arrCmpOrdering/80",163477994,4.26334,4.2631,ns,,,,,
"arrCmpOrdering/84",163988415,4.27334,4.2732,ns,,,,,
"arrCmpOrdering/88",164382180,4.25554,4.25528,ns,,,,,
