name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"arrCmpInt/0",1000000000,0.717544,0.71875,ns,,,,,
"arrCmpInt/4",1000000000,0.717805,0.71875,ns,,,,,
"arrCmpInt/8",1000000000,0.721203,0.734375,ns,,,,,
"arrCmpInt/12",896000000,0.722477,0.714983,ns,,,,,
"arrCmpInt/16",1000000000,0.716525,0.71875,ns,,,,,
"arrCmpInt/20",1000000000,0.718551,0.71875,ns,,,,,
"arrCmpInt/24",1000000000,0.719783,0.71875,ns,,,,,
"arrCmpInt/28",1000000000,0.718285,0.71875,ns,,,,,
"arrCmpInt/32",746666667,0.958897,0.962612,ns,,,,,
"arrCmpInt/36",746666667,0.961227,0.962612,ns,,,,,
"arrCmpInt/40",746666667,0.98658,0.983538,ns,,,,,
"arrCmpInt/44",746666667,0.957751,0.941685,ns,,,,,
"arrCmpInt/48",746666667,0.976604,0.983538,ns,,,,,
"arrCmpInt/52",746666667,0.96038,0.962612,ns,,,,,
"arrCmpInt/56",746666667,0.959959,0.962612,ns,,,,,
"arrCmpInt/60",746666667,0.960735,0.962612,ns,,,,,
"arrCmpInt/64",560000000,1.2065,1.19978,ns,,,,,
"arrCmpInt/68",640000000,1.20921,1.2207,ns,,,,,
"arrCmpInt/72",560000000,1.20503,1.19978,ns,,,,,
"arrCmpInt/76",640000000,1.20611,1.2207,ns,,,,,
"arrCmpInt/80",560000000,1.20431,1.19978,ns,,,,,
"arrCmpInt/84",560000000,1.20934,1.19978,ns,,,,,
"arrCmpInt/88",560000000,1.20899,1.19978,ns,,,,,
"arrCmpInt/92",497777778,1.20742,1.1928,ns,,,,,
"arrCmpInt/96",448000000,1.43799,1.42997,ns,,,,,
"arrCmpOrdering/0",560000000,1.24844,1.22768,ns,,,,,
"arrCmpOrdering/4",560000000,1.24703,1.25558,ns,,,,,
"arrCmpOrdering/8",560000000,1.25051,1.25558,ns,,,,,
"arrCmpOrdering/12",560000000,1.24938,1.22768,ns,,,,,
"arrCmpOrdering/16",560000000,1.24555,1.25558,ns,,,,,
"arrCmpOrdering/20",560000000,1.2565,1.25558,ns,,,,,
"arrCmpOrdering/24",560000000,1.25764,1.25558,ns,,,,,
"arrCmpOrdering/28",560000000,1.24562,1.22768,ns,,,,,
"arrCmpOrdering/32",448000000,1.47728,1.46484,ns,,,,,
"arrCmpOrdering/36",448000000,1.48126,1.46484,ns,,,,,
"arrCmpOrdering/40",497777778,1.48093,1.5067,ns,,,,,
"arrCmpOrdering/44",497777778,1.47847,1.47531,ns,,,,,
